taxa,PC1,PC2,PC3
33-16,1.6780774569501,-4.93733820263093,1.00292790366622
38-11,-1.6021748890235,-4.73227900516267,-0.68861871181848
4226,-0.899951722551031,-6.21860902114617,2.27376549796879
4722,2.1334477328712,-6.28793006010759,5.68371612516943
A188,0.630237229207126,-4.8947415706608,0.818900120293782
A214N,-13.6690754346307,0.873630155287634,-21.6324613089458
A239,-0.568084076630898,-5.94010636301767,0.330720052066835
A272,3.7670957619024,2.75044062294811,2.23840391424437
A441-5,5.43272967941567,-0.151654692557719,1.09509117674209
A554,-0.980118138798353,-5.47922201011549,1.04304921946504
A556,0.486709444158232,-6.68121495314165,1.88534541018132
A6,10.4949742670572,10.4543055131979,0.435227255051194
A619,-0.0516207655001708,-15.4913251768542,5.29579269084496
A632,-19.6833160499124,-0.00741713268014195,-27.1228012187338
A634,-18.1129771825385,0.527974825379214,-25.1777706749176
A635,-18.7054657733253,-0.566400966620185,-25.3219570369279
A641,-11.540123339051,-3.77372610145263,-17.3821171501194
A654,-0.337719801292073,-5.92188846042246,-1.06323602238178
A659,-1.24303684551731,-5.41854695660121,1.59366066218026
A661,0.488027531479031,-5.03871807588808,2.45605338370849
A679,-30.1466826790561,13.212700175314,12.3395328114991
A680,-35.9770137319673,16.2340754661392,12.6161663999689
A682,0.888121614064215,-8.45509262446742,0.148500440028827
AB28A,0.91534114536789,-2.55204152633771,1.12905018654806
B10,-15.3027421327919,-1.34367617246877,-7.35200514075809
B103,-3.04324143201554,-5.059405013174,-2.74327483150573
B104,-21.4166877945011,4.71001319421802,1.33291626605892
B105,-8.41562760363772,-0.357283755307425,0.975367652685989
B109,-29.9462236888539,13.3637338842588,9.21317879844992
B115,0.788766275627812,-4.93244362709354,0.0926407722642276
B14A,-25.3697112968346,1.04398757915353,-29.3460950506816
B164,-2.34650990187407,-3.53456196805418,0.717664489032849
B2,-4.16508838461635,-4.0959212877313,-1.86134205293674
B37,-14.4221430878423,0.0132662769288587,5.58923910551094
B46,-7.10649959708817,-6.92220986029846,-3.7487593469038
B52,-2.01554961398902,-4.88656143804734,-0.00398894152888644
B57,0.376890544368372,-3.22768848095122,1.71460457636083
B64,-15.2061537476086,1.13442965612321,-24.7112908674187
B68,-19.7164696452784,0.142696684878471,-27.3859023466352
B73,-38.7609574097568,18.0248964215501,13.4773853332729
B73HTRHM,-37.8747999554631,17.3680059742786,12.8935419208108
B75,-1.34501164006887,-6.46955383784907,0.883095242903663
B76,-12.8771631267697,-0.375147394296008,5.66248198854683
B77,1.83277128841945,-3.40949715593576,-1.5349570489401
B79,-6.45054057352643,-4.23470684799057,-4.08759084947798
B84,-21.7762299373863,4.75074871665622,0.657264947962805
B97,-2.55573291011425,-7.55922866851181,-1.61473855618774
C103,4.05974320728845,-12.0208297422737,3.87293871559221
C123,2.38228766191192,-9.92791867196042,2.7511104014383
C49A,0.695669637705373,-4.73526011842766,-0.85255238815718
CH701-30,-2.65298835487089,-5.08430343766909,-0.282483068008215
CH9,1.5724047509493,-3.93007825487923,-0.0948556852521527
CI187-2,4.35122042138774,-2.41255946509609,1.02774911994423
CI21E,-5.78319085830052,-0.406623634276607,-0.059228225670322
CI28A,-0.897944688740618,-1.70964010221497,-1.19999418879173
CI31A,0.538165950556852,-4.37852441388916,2.561591979607
CI3A,-0.647595169730743,-3.44010206535776,-2.58973537268383
CI64,3.20845650806001,-2.30034265611401,0.488267503494579
CI66,3.27422491928874,-1.85484668865027,0.974832202418337
CI7,-0.0118132383452364,-5.37358396192288,1.62464404664328
CI90C,1.98939011004703,-4.66684460473293,4.00669154741301
CI91B,-4.31144255627775,-2.65666839245409,0.800693314936973
CM105,-20.4075810278107,-0.138009918019558,-19.8675212514066
CM174,-14.7710853731901,-2.2866368179476,-22.0292244642917
CM37,-1.89426975311378,-8.84789924907782,-1.13913682810285
CM7,-0.0252019909244856,-6.8660319998318,0.60545557419908
CML10,10.4219164979295,7.4083478379884,1.1907580337129
CML103,8.53464986038778,6.18234565793531,-0.178999724673749
CML108,8.38555734025501,8.28958827179,-1.16469284923528
CML11,10.6837482413205,9.51510085252114,0.340967650156417
CML14,9.31150314595549,8.95626038229203,-0.786249264743062
